title,budget,revenue,runtime,vote_average,popularity
"Pink Ribbons, Inc.",0.9,0.025,97.0,6.8,0.489328
Your Sister's Sister,0.125,3.2,90.0,6.5,10.850569
"Jeff, Who Lives at Home",10.0,4.41758,83.0,6.1,5.872794
Johnny English Reborn,45.0,160.078586,101.0,6.0,10.668658
Straw Dogs,25.0,10.324441,110.0,5.5,8.048422
Carnage,25.0,27.603069,80.0,7.0,8.844835
Restless,8.0,0.163265,91.0,6.3,6.140556
I Don't Know How She Does It,24.0,30.551495,89.0,5.0,6.562982
Weekend,0.008,0.484592,96.0,7.5,4.727171
Silenced,2.2,31.5,125.0,8.0,4.385574
Abduction,35.0,82.087155,106.0,5.6,10.512109
Moneyball,50.0,110.206216,133.0,7.0,15.785663
Killer Elite,66.0,57.777106,116.0,6.1,8.046632
Machine Gun Preacher,30.0,2.527904,129.0,6.4,5.87767
Dolphin Tale,37.0,95.404397,113.0,6.6,6.695229
The Ides of March,12.5,75.993061,101.0,6.5,6.82647
We Need to Talk About Kevin,7.0,6.038942,112.0,7.4,5.325574
Margin Call,3.5,19.504039,107.0,6.7,8.340757
Real Steel,110.0,299.268508,127.0,6.6,19.265552
Margaret,14.0,0.046495,149.0,6.1,5.113573
What's Your Number?,20.0,30.426096,106.0,6.2,6.958086
Courageous,1.0,34.522221,129.0,6.8,7.666558
50/50,8.0,39.187783,100.0,7.0,11.869481
A Dangerous Method,15.0,27.462041,99.0,6.2,9.865944
Dream House,50.0,38.50234,84.0,5.8,9.995617
This Must Be the Place,25.0,11.790979,118.0,6.7,10.710831
Shame,6.5,17.693675,100.0,7.0,11.72049
Footloose,24.0,63.543328,113.0,6.4,6.162257
The Thing,35.0,28.12867,103.0,6.0,10.169411
The Rum Diary,45.0,24.0,120.0,5.6,10.110504
Trespass,36.0,9.612469,91.0,5.4,9.540381
The Big Year,41.0,7.448385,100.0,5.6,10.267905
A Few Best Men,12.468389,29.007412,97.0,5.9,6.116093
My Week with Marilyn,6.4,35.057696,99.0,6.6,12.203066
Paranormal Activity 3,5.0,205.703818,83.0,5.9,10.996308
Anonymous,30.0,15.395087,130.0,6.3,13.413895
The Afflicted,0.18,0.175742,85.0,4.0,0.437372
The Adventures of Tintin,130.0,371.940071,107.0,6.7,19.201504
Chicken with Plums,12.0,1.428291,93.0,6.8,3.78207
7Aum Arivu,16.0,98.9,168.0,6.6,2.252517
The Double,17.0,3.696232,98.0,5.8,5.498819
La peggior settimana della mia vita,11.0,12.9358,0.0,5.9,5.010563
In Time,40.0,173.930596,109.0,6.7,10.324613
Like Crazy,0.25,3.542353,90.0,6.5,8.002786
Special Forces,10.0,0.010759,109.0,6.4,5.3584
The Intouchables,13.0,426.480871,112.0,8.2,16.086919
Tower Heist,75.0,152.930623,104.0,5.8,7.762917
Setup,20.0,2.128186,85.0,4.7,4.850968
A Very Harold & Kumar Christmas,19.0,35.387212,108.0,6.0,10.724679
Haywire,23.0,33.372606,93.0,5.6,9.574817
J. Edgar,35.0,84.60603,137.0,6.0,9.529382
Immortals,75.0,226.904017,110.0,5.7,10.363671
Rockstar,10.92,19.66,159.0,7.4,2.009033
Jack and Jill,79.0,149.673788,91.0,4.0,6.620033
Sleepless Night,2.5,0.003358,98.0,6.0,2.942355
Happy Feet Two,130.0,150.406466,100.0,5.8,9.141045
Another Happy Day,4.0,0.355688,119.0,6.2,3.496577
The Muppets,45.0,165.184237,103.0,6.5,10.214369
Hugo,170.0,185.77016,126.0,7.0,14.046164
Sherlock Holmes: A Game of Shadows,125.0,334.615,129.0,7.0,18.695329
Rampart,12.0,0.972512,108.0,5.3,5.874878
Take Shelter,5.0,3.099314,120.0,7.1,5.59686
The Best Exotic Marigold Hotel,10.0,136.836156,124.0,6.9,9.23046
The Innkeepers,0.75,0.078396,102.0,5.4,8.560726
Mission: Impossible - Ghost Protocol,145.0,694.71338,133.0,6.8,14.25843
New Year's Eve,56.0,142.044638,118.0,5.7,6.948818
The Sitter,25.0,34.942188,81.0,5.4,13.105682
Louis C.K.: Live at the Beacon Theater,0.25,1.0,62.0,8.1,4.297654
Ghost Rider: Spirit of Vengeance,57.0,149.217355,95.0,4.7,9.421301
Chapiteau-Show,2.0,0.393816,207.0,6.8,0.74156
The Girl with the Dragon Tattoo,90.0,232.61743,158.0,7.2,8.907829
Alvin and the Chipmunks: Chipwrecked,75.0,342.695435,87.0,5.4,8.066393
The Flowers of War,94.0,95.311434,145.0,7.1,6.587711
Young Adult,12.0,22.939027,94.0,5.6,6.142913
Black Gold,40.0,5.446,130.0,5.9,6.652197
Albert Nobbs,8.0,5.634828,113.0,6.2,5.379039
Black Gold,40.0,5.446,130.0,5.9,6.475665
The Darkest Hour,30.0,64.626786,89.0,4.8,8.127392
We Bought a Zoo,50.0,120.081841,124.0,6.5,10.563152
In the Land of Blood and Honey,10.0,0.303877,127.0,5.8,2.772269
Extremely Loud & Incredibly Close,40.0,55.247881,129.0,6.9,7.82605
War Horse,66.0,177.584879,146.0,7.0,8.166363
The Iron Lady,13.0,114.956699,105.0,6.2,7.421245
The Devil Inside,1.0,101.75849,83.0,4.6,5.747675
Contraband,25.0,63.1,109.0,6.1,10.595067
Man on a Ledge,42.0,46.221189,102.0,6.2,10.528173
Welcome to the North,6.0,35.0,110.0,5.6,5.219214
Underworld: Awakening,70.0,160.112671,88.0,6.1,12.345348
Red Tails,58.0,50.365377,125.0,5.9,7.145835
Journey 2: The Mysterious Island,79.0,355.69276,94.0,5.8,9.46307
Two Rabbits,2.0,1.620436,108.0,7.1,2.315249
Agneepath,11.097,49.028,174.0,6.3,2.589507
One for the Money,40.0,36.893721,91.0,5.3,6.322435
The Grey,25.0,77.278331,117.0,6.4,14.31675
La Vérité si je Mens ! 3,25.496629,40.924982,120.0,5.3,3.81584
Chronicle,15.0,145.0,84.0,6.6,12.47441
The Woman in Black,17.0,127.730736,95.0,6.1,8.896679
Big Miracle,40.0,24.719215,107.0,6.6,6.159379
The Vow,30.0,196.11457,104.0,7.0,9.524298
Safe House,85.0,208.076205,115.0,6.3,8.338675
Shadow Dancer,6.3,0.419953,101.0,5.7,4.38806
About Cherry,2.5,0.003003,102.0,4.4,5.46567
This Means War,65.0,156.974557,103.0,5.9,12.366641
ATM,3.0,0.00301,90.0,5.1,8.950643
Wanderlust,35.0,24.159934,98.0,5.3,9.295078
Act of Valor,12.0,81.272766,110.0,6.3,12.159818
Sholem Aleichem: Laughing In The Darkness,0.5,0.845188,93.0,7.0,0.086226
Project X,12.0,100.0,88.0,6.5,9.803023
The Lorax,70.0,348.840316,86.0,6.3,7.689395
The Samaritan,12.0,0.002521,90.0,5.2,11.52128
Red Lights,14.0,13.551174,119.0,6.0,11.535478
A Thousand Words,40.0,22.044277,91.0,6.0,5.446745
John Carter,260.0,284.1391,132.0,6.1,14.670353
The Raven,26.0,29.657751,111.0,6.1,7.254242
Kahaani,1.2,16.0,122.0,7.3,3.174936
Bel Ami,9.0,8.303261,102.0,5.0,7.720692
Iron Sky,7.5,8.135031,93.0,5.6,19.561767
21 Jump Street,42.0,201.585328,109.0,6.7,11.250764
The Hunger Games,75.0,691.210692,142.0,6.9,20.031667
The Pirates! In an Adventure with Scientists!,60.0,118.338361,88.0,6.4,10.271517
My Way,27.563396,29.19333,148.0,6.2,7.847574
Mirror Mirror,85.0,183.018522,106.0,5.5,14.170183
That still Karloson!,4.0,9.938268,80.0,3.5,0.712585
Wrath of the Titans,150.0,301.0,99.0,5.5,7.739904
2 Days in New York,8.0,1.653792,91.0,5.4,4.68182
Dark Tide,25.0,0.432274,113.0,4.8,5.405958
Sinister,3.0,77.712439,110.0,6.8,12.490637
A Royal Affair,8.0,7.594693,137.0,7.2,8.168448
Aquí Entre Nos,1e-06,2.755584,73.0,6.0,0.230075
HOUBA! On the Trail of the Marsupilami,50.0,48.6,105.0,5.0,10.409049
American Reunion,50.0,234.989584,113.0,6.1,8.10609
The Cold Light of Day,20.0,16.863583,93.0,4.8,11.112153
The Spy,6.0,4.588176,99.0,4.6,1.822246
Battleship,209.0,303.025485,131.0,5.5,13.106966
Lockout,20.0,32.20403,95.0,5.8,8.772263
The Cabin in the Woods,30.0,66.48608,95.0,6.6,14.811958
The Three Stooges,30.0,54.819301,92.0,4.9,13.371056
Think Like a Man,12.0,96.070507,122.0,6.9,5.264551
Safe,30.0,40.346186,94.0,6.3,8.234382
The Lucky One,25.0,99.357138,101.0,6.8,7.740762
To Rome with Love,17.0,73.244881,111.0,5.6,7.812646
The Avengers,220.0,1519.55791,143.0,7.4,89.887648
Paradise: Love,3.6,0.024267,120.0,6.7,4.645724
Bernie,5.0,9.20647,100.0,6.5,5.875181
The Five-Year Engagement,30.0,53.909751,124.0,5.7,12.84554
The Sessions,1.0,9.138338,98.0,6.6,5.760319
Grandmaster,0.12,0.13,130.0,6.1,0.485424
White Tiger,11.0,7.2,104.0,5.9,9.56013
Dark Shadows,150.0,245.527149,113.0,5.7,10.665859
Gabbar Singh,7.0,16.0,136.0,5.1,0.795228
Piranha 3DD,5.0,8.493728,83.0,4.1,5.615205
The Dictator,65.0,179.379533,83.0,5.9,7.446085
Moonrise Kingdom,16.0,68.263166,94.0,7.6,8.692433
Yossi,0.5,0.116207,84.0,6.8,1.162001
Stolen,35.0,2.106557,96.0,5.1,7.759429
Rust and Bone,15.4,25.762027,123.0,7.1,8.400049
What to Expect When You're Expecting,40.0,79.7,110.0,5.8,7.271503
Laurence Anyways,9.5,0.01225,168.0,7.7,8.59498
Crooked Arrows,13.0,1.832541,95.0,5.6,5.138409
Stitches,0.1,0.095,86.0,5.5,8.328705
On the Road,25.0,8.784318,137.0,5.5,7.323283
Men in Black 3,225.0,624.026776,106.0,6.3,10.684385
Cosmopolis,20.5,6.063556,109.0,5.1,6.087109
Prometheus,130.0,403.170142,124.0,6.3,16.624854
Snow White and the Huntsman,170.0,396.6,127.0,5.8,18.751554
For Greater Glory - The True Story of Cristiada,12.0,9.622846,145.0,6.4,4.482331
Rowdy Rathore,6.7,31.0,143.0,5.6,1.312833
Madagascar 3: Europe's Most Wanted,145.0,746.921274,93.0,6.4,13.829042
Eega,5.99,19.45,145.0,6.7,8.615159
Safety Not Guaranteed,0.75,4.007792,85.0,6.8,7.067494
Rock of Ages,75.0,59.418613,123.0,6.0,12.558042
That's My Boy,70.0,58.058367,116.0,5.5,8.923755
Foodfight!,65.0,0.073706,87.0,2.3,6.693589
Abraham Lincoln: Vampire Hunter,69.0,112.265139,94.0,5.5,7.922636
Brave,185.0,538.983207,93.0,6.7,15.876341
Lay the Favorite,26.35,1.576687,94.0,4.9,5.153138
Gangs of Wasseypur,1.4,4.1,320.0,7.0,9.777219
Seeking a Friend for the End of the World,10.0,9.636289,101.0,6.3,6.947533
Ice Age: Continental Drift,95.0,877.244782,88.0,6.2,13.26958
Bikini Spring Break,0.5,0.5,87.0,3.8,1.946823
The Amazing Spider-Man,215.0,752.215857,136.0,6.5,31.102267
Katy Perry: Part of Me,12.0,32.726956,93.0,6.5,8.960713
Magic Mike,7.0,167.221571,110.0,6.1,8.732425
Ted,50.0,549.368315,106.0,6.3,19.638605
Beasts of the Southern Wild,1.8,21.107746,93.0,6.8,5.550496
People Like Us,16.0,12.434778,114.0,6.6,14.906621
Amour,8.9,29.844753,127.0,7.5,7.663947
A Coffee in Berlin,0.3,2.750275,88.0,7.0,7.90622
Savages,45.0,82.966152,131.0,6.2,13.248022
Cocktail,6.4,18.8,144.0,6.2,7.950488
2016: Obama's America,2.5,33.4,87.0,4.6,1.221216
The Dark Knight Rises,250.0,1084.939099,165.0,7.6,20.58258
The Watch,68.0,68.267862,98.0,5.3,13.276971
Step Up Revolution,33.0,140.470746,99.0,6.7,7.859968
Diary of a Wimpy Kid: Dog Days,22.0,77.112176,94.0,6.0,10.225555
Total Recall,125.0,198.802074,121.0,5.8,16.42635
ParaNorman,60.0,107.139399,90.0,6.7,10.425038
Bachelorette,3.0,11.947954,87.0,5.3,10.893224
Hope Springs,30.0,114.281051,100.0,5.8,7.255301
The Bourne Legacy,130.0,276.572938,120.0,6.0,14.89499
The Expendables 2,100.0,312.573423,103.0,6.1,14.881566
The Bullet Vanishes,12.0,0.117629,108.0,6.0,1.675406
Robot & Frank,2.5,3.325038,85.0,6.8,9.291494
Sparkle,14.0,24.637469,116.0,5.8,2.24386
Hit & Run,2.0,14.4,100.0,5.5,7.148558
The Apparition,17.0,9.627492,82.0,4.5,7.683008
Premium Rush,35.0,31.083599,91.0,6.2,5.654784
The Hunt,3.8,16.8,115.0,7.9,8.462801
Lawless,26.0,53.67658,115.0,6.8,7.968423
The Possession,14.0,85.446075,92.0,5.8,7.286477
"Tad, the Lost Explorer",10.5,23.0,90.0,5.6,11.003515
"For a Good Time, Call...",0.85,1.243961,85.0,5.8,10.378756
The Act of Killing,1.0,0.444575,115.0,7.5,6.373118
Fire with Fire,20.0,4.636169,97.0,5.6,10.999209
The Iceman,20.0,1.969193,105.0,6.4,13.132127
Love Is All You Need,5.5,10.016934,116.0,6.2,4.711231
Pieta,0.103,3.62333,104.0,6.9,5.194433
Voracious,0.011178,0.034659,104.0,8.0,0.079287
Captive,0.01118,0.024591,120.0,5.9,0.660969
The Master,32.0,28.25806,137.0,7.0,8.074218
Seven Psychopaths,15.0,19.422261,110.0,6.7,9.643538
Dredd,50.0,41.037742,95.0,6.6,12.1524
The Words,6.0,13.231461,96.0,6.4,6.089971
Silver Linings Playbook,21.0,205.738714,122.0,7.0,14.488111
Quartet,11.0,59.520298,98.0,6.4,6.93228
Byzantium,10.0,0.089237,118.0,6.1,6.79497
The Impossible,42.0,180.274123,113.0,7.0,10.027434
The Lords of Salem,1.5,1.165882,101.0,5.1,9.981121
The Sweeney,3.7305,6.294161,112.0,5.7,5.311336
Disconnect,10.0,3.428048,115.0,6.9,12.18812
Resident Evil: Retribution,65.0,240.159255,95.0,5.6,0.948759
Smashed,0.5,0.376597,85.0,6.3,4.893812
Aftershock,2.0,0.05851,89.0,5.3,8.367858
Twice Born,13.0,0.018295,127.0,6.9,5.849716
English Vinglish,2.84,11.62,133.0,7.3,3.611437
Barfi,4.437508,2.804874,155.0,7.2,3.779077
The Paperboy,12.5,1.353868,107.0,5.4,5.526878
Arbitrage,12.0,35.485056,100.0,6.1,5.808496
The Perks of Being a Wallflower,13.0,33.4,102.0,7.7,12.775679
Hotel Transylvania,85.0,358.375603,91.0,6.8,16.231945
Killing Them Softly,15.0,37.930465,97.0,5.8,6.777326
End of Watch,7.0,48.126384,109.0,7.2,7.45279
House at the End of the Street,6.9,44.287131,101.0,5.6,8.513457
Promised Land,15.0,8.138788,106.0,6.0,7.06378
Looper,30.0,47.042,118.0,6.6,12.727269
Taken 2,45.0,376.141306,91.0,6.1,16.376482
Upside Down,60.0,8.106475,104.0,6.2,7.37535
Pitch Perfect,17.0,115.350426,112.0,7.3,11.03595
Frankenweenie,39.0,35.287788,87.0,6.6,10.296047
Soulless,2.8,13.21898,100.0,5.5,1.823774
Universal Soldier: Day of Reckoning,11.5,1.402307,114.0,5.1,12.887287
Silent Hill: Revelation 3D,20.0,52.302796,94.0,5.1,5.745206
Argo,44.5,232.324128,120.0,7.1,14.238234
The Snow Queen,7.0,12.4,76.0,5.1,6.407641
A Company Man,3.5,7.339398,96.0,6.6,6.261686
Zaytoun,8.0,0.04233,107.0,6.6,3.549738
Paranormal Activity 4,5.0,142.817992,95.0,5.2,6.188286
Alex Cross,45.0,30.353232,101.0,5.1,8.279285
Pizza,0.24,2.8,127.0,5.5,0.602301
Best Man Down,1.5,0.001938,90.0,6.1,5.875708
Skyfall,200.0,1108.561013,143.0,6.9,20.309585
Fun Size,14.0,11.417362,87.0,5.5,6.891823
Cloud Atlas,102.0,130.482868,172.0,6.6,13.494246
Wreck-It Ralph,165.0,471.222889,108.0,7.1,13.697597
Rita's Last Fairy Tale,0.2,0.486937,100.0,7.4,0.560685
Burn,0.225,0.1113,86.0,7.1,0.466236
The Man with the Iron Fists,15.0,15.608545,96.0,5.2,8.310945
Flight,31.0,161.772375,138.0,6.5,10.973822
Redd Inc.,0.5,1.0,93.0,5.5,5.411012
Deadfall,12.0,0.066351,95.0,5.6,8.435294
Lincoln,65.0,275.29345,149.0,6.7,10.680331
The Precocious and Brief Life of Sabina Rivas,4.62,2.395,115.0,5.0,0.546165
The Twilight Saga: Breaking Dawn - Part 2,120.0,829.0,115.0,6.1,26.080995
Life of Pi,120.0,609.016565,127.0,7.2,14.045042
Rise of the Guardians,145.0,306.94167,97.0,7.1,10.943775
Red Dawn,65.0,44.806783,93.0,5.3,5.627787
The Hobbit: An Unexpected Journey,250.0,1021.103568,169.0,7.0,23.253089
Tutto tutto niente niente,5.57975,8.9276,0.0,4.8,2.208906
Lost in Thailand,2.2,208.0,105.0,6.1,1.789133
Ernest & Celestine,12.516654,8.10916,78.0,7.6,7.225779
Les Misérables,61.0,441.80977,157.0,7.2,13.52408
Zero Dark Thirty,40.0,132.820716,157.0,6.7,9.649303
The Guilt Trip,40.0,41.863726,95.0,5.4,7.479014
This Is 40,35.0,88.058786,134.0,5.6,11.418802
Jack Reacher,60.0,218.340595,130.0,6.3,12.789812
The Guillotines,15.0,0.00529,113.0,5.4,2.080781
Not Fade Away,20.0,0.610792,112.0,5.4,2.688548
The Worst Christmas of My Life,6.8435,10.703234,0.0,5.5,3.800073
Parental Guidance,25.0,119.772232,104.0,5.8,11.746053
Django Unchained,100.0,425.368238,165.0,7.8,19.785025
Maniac,6.0,0.031081,89.0,5.9,8.804658
"Mommies, Happy New Year!",2.0,11.666088,90.0,5.3,1.456046
Movie 43,6.0,32.438988,90.0,4.5,10.895427
The Best Offer,13.5,19.255873,124.0,7.7,8.995603
Phantom,10.0,1.034589,99.0,5.5,6.651567
Texas Chainsaw 3D,20.0,47.241945,92.0,5.3,7.214828
The Grandmaster,3.86,64.076736,130.0,6.3,8.959821
Gangster Squad,60.0,105.200903,113.0,6.2,8.581558
A Haunted House,2.5,60.141683,86.0,5.4,6.531373
Hansel & Gretel: Witch Hunters,50.0,224.803475,88.0,5.7,10.337211
Mama,15.0,146.497771,100.0,6.0,16.018525
The Hijack That Went South,1.8,0.532269,93.0,5.6,0.474578
Broken City,56.0,19.701164,109.0,5.7,12.136158
Parker,35.0,46.216641,118.0,5.7,13.963892
Sweetwater,7.0,0.006147,95.0,6.0,5.799861
Spring Breakers,5.0,31.724284,94.0,5.0,14.830235
Vishwaroopam,17.0,51.0,147.0,5.5,1.542355
The Berlin File,9.0,48.96521,120.0,6.5,7.453745
Bullet to the Head,55.0,9.489829,92.0,5.2,8.26008
Warm Bodies,35.0,116.980662,97.0,6.4,10.430238
A Good Day to Die Hard,92.0,304.654182,98.0,5.2,12.471865
Side Effects,30.0,63.372757,106.0,6.4,11.645847
Special 26,7.1,18.0,144.0,6.9,2.78114
Safe Haven,28.0,97.59414,115.0,6.9,7.598422
Identity Thief,35.0,173.96501,111.0,5.6,7.321172
Beautiful Creatures,60.0,60.052138,124.0,5.6,20.485203
Long Live Freedom,5.0,0.048125,94.0,7.2,2.513078
Escape from Planet Earth,40.0,74.597643,89.0,5.7,11.617481
Snitch,35.0,42.930462,112.0,5.8,13.542675
Dark Skies,3.5,25.174316,97.0,6.1,26.972326
Jack the Giant Slayer,195.0,197.687603,114.0,5.5,11.606061
Hard to Be a God,7.0,1.310673,170.0,6.7,5.921772
The Last Exorcism Part II,5.0,15.179302,88.0,4.4,5.874458
Stoker,12.0,12.077441,99.0,6.5,7.222816
21 & Over,13.0,48.065672,93.0,5.7,11.29356
Oz: The Great and Powerful,200.0,491.868548,130.0,5.7,11.137329
I'm So Excited!,5.0,11.724119,90.0,5.8,6.757549
No One Lives,2.9,0.074918,86.0,5.5,7.202832
Camille Claudel 1915,3.512454,0.11586,95.0,7.0,0.134014
Camille Claudel 1915,3.512454,0.11586,95.0,7.0,0.110065
The Call,13.0,68.572378,94.0,6.6,8.611077
The Incredible Burt Wonderstone,30.0,27.437881,100.0,5.3,9.385769
Welcome to the Punch,8.5,0.009747,99.0,5.7,7.67857
The Croods,135.0,585.178928,98.0,6.8,14.757874
The Place Beyond the Pines,15.0,35.485608,140.0,6.8,7.492658
Olympus Has Fallen,70.0,161.02564,120.0,6.2,10.978188
Finding Mr. Right,4.881,81.35,123.0,6.3,2.32186
Amen,0.11,0.27,165.0,6.9,1.104156
Admission,13.0,18.0,107.0,5.5,10.098539
The Host,44.0,63.327201,125.0,6.0,11.342024
G.I. Joe: Retaliation,130.0,371.876278,110.0,5.4,10.560608
Trance,20.0,24.261569,101.0,6.5,7.876299
Adore,16.0,0.318982,100.0,6.1,12.260159
Lootera,4.1,4.3,136.0,6.6,1.296259
Evil Dead,17.0,97.542952,91.0,6.4,12.01525
Before Midnight,3.0,11.176469,108.0,7.3,11.30324
Upstream Color,0.1,0.444098,96.0,6.5,8.003815
Oblivion,120.0,286.168572,124.0,6.4,14.654053
Scary Movie 5,20.0,78.378744,86.0,4.6,14.27281
42,40.0,95.020213,128.0,6.8,11.637224
Pain & Gain,25.0,86.175291,130.0,6.1,9.218002
Iron Man 3,200.0,1215.439994,130.0,6.8,23.721243
Home Run,1.2,2.86102,114.0,6.3,1.472463
The Big Wedding,35.0,21.819348,90.0,5.7,6.651605
Aashiqui 2,1.3,16.0,132.0,6.8,2.831069
Mud,10.0,21.5877,130.0,7.0,7.881579
Soodhu Kavvum,0.31,12.0,138.0,7.0,1.217786
What Maisie Knew,6.0,1.066471,93.0,7.4,8.535611
Star Trek Into Darkness,190.0,467.365246,132.0,7.4,15.78129
Fast & Furious 6,160.0,788.67985,130.0,6.7,1.657637
Hummingbird,20.0,8.352885,100.0,5.9,8.801032
The Great Gatsby,105.0,351.040419,143.0,7.3,17.598936
Epic,100.0,268.426634,102.0,6.4,11.913405
The Past,11.0,10.631747,130.0,7.1,9.166555
The Great Beauty,12.4,8.371085,142.0,7.3,8.176134
The Hangover Part III,103.0,362.000072,100.0,6.0,25.085639
On the Job,1.052753,0.466088,120.0,6.2,2.934298
Behind the Candelabra,23.0,15.6,118.0,6.6,7.339451
Now You See Me,75.0,117.698894,115.0,7.3,17.852022
Only God Forgives,4.8,10.337387,90.0,5.6,6.069475
After Earth,130.0,243.843127,100.0,5.0,10.747642
The East,6.5,2.40151,116.0,6.5,6.53667
Yeh Jawaani Hai Deewani,7.7,46.0,159.0,7.1,4.262544
The Purge,3.0,89.328627,86.0,6.0,23.207663
The Way Way Back,4.6,23.198652,103.0,7.1,10.342737
The Internship,58.0,44.0,119.0,6.1,0.393865
Man of Steel,225.0,662.845518,143.0,6.5,18.538834
The Bling Ring,15.0,19.145732,90.0,5.3,7.913029
This Is the End,32.0,126.041322,107.0,6.2,11.414048
Legends of Oz: Dorothy's Return,70.0,18.662027,88.0,5.8,6.660309
World War Z,200.0,531.865,116.0,6.7,26.114917
Monsters University,200.0,743.559607,104.0,7.0,16.267502
Raanjhanaa,6.4,18.0,140.0,6.3,1.856101
Despicable Me 2,76.0,970.761885,98.0,7.0,24.82355
White House Down,150.0,205.366737,131.0,6.3,9.920223
The Heat,43.0,158.67418,117.0,6.5,12.706403
The Lone Ranger,255.0,89.28991,149.0,5.9,12.729104
The Immigrant,16.0,5.867686,117.0,6.2,6.985915
Hunting Elephants,2.3,4.5,107.0,6.2,1.050644
Man of Tai Chi,25.0,2.054941,105.0,5.8,11.829231
Grown Ups 2,80.0,246.984278,100.0,5.8,9.411725
Turbo,135.0,282.570682,96.0,6.1,8.979753
